Product, Rating, Price 
Redmi Note 5 Pro (Black| 64 GB),4.6 ★,₹14 999
Redmi Note 5 (Black| 32 GB),4.4 ★,₹9 999
Redmi Note 5 Pro (Gold| 64 GB),4.6 ★,₹14 999
Alcatel 3V (Spectrum Black| 32 GB),3.6 ★,₹9 999
Redmi Note 5 (Rose Gold| 64 GB),4.4 ★,₹11 999
Redmi Note 5 Pro (Blue| 64 GB),4.6 ★,₹14 999
Yu Yureka Note (Black| 16 GB),3.7 ★,₹7 499
Samsung Galaxy On6 (Blue| 64 GB),4.6 ★,₹14 490
Redmi Note 4 (Dark Grey| 64 GB),4.4 ★,₹10 999
Redmi Note 5 (Black| 64 GB),4.4 ★,₹11 999
Redmi Note 5 (Gold| 64 GB),4.4 ★,₹11 999
Redmi Note 5 (Gold| 32 GB),4.4 ★,₹9 999
Samsung Galaxy J8 (Black| 64 GB),4.5 ★,₹18 990
MTR S5 Mini,3.9 ★,₹649
Redmi Note 5 Pro (Rose Gold| 64 GB),4.6 ★,₹14 999
Honor 9 Lite (Glacier Grey| 32 GB),4.3 ★,₹10 999
Honor 9 Lite (Midnight Black| 32 GB),4.3 ★,₹10 999
Honor 9 Lite (Sapphire Blue| 32 GB),4.3 ★,₹10 999
Honor 9 Lite (Midnight Black| 64 GB),4.3 ★,₹14 999
ZOPO Color E ZP350 (Red| 8 GB),3.3 ★,₹3 790
Honor 9 Lite (Glacier Grey| 64 GB),4.3 ★,₹14 999
Redmi Y1 (Gold| 32 GB),4.2 ★,₹8 999
Honor 9 Lite (Sapphire Blue| 64 GB),4.3 ★,₹14 999
Adcom A25,3.6 ★,₹790
